stationcode,sampledate,csci,comid,masterid
101WE1111,2002-08-06T07:00:00Z,0.96316224,23949493,101WE1111
541OC0004,2006-05-24T07:00:00Z,0.60569803,2827158,541OC0004
541OC0004,2011-06-16T07:00:00Z,0.55660209,2827158,541OC0004
541OC0005,2009-04-22T07:00:00Z,0.42086862,2827158,541OC0005
541OC0005,2010-04-22T07:00:00Z,0.33315636,2827158,541OC0005
541OC0005,2012-04-28T07:00:00Z,0.33845899,2827158,541OC0005
541OC0005,2008-05-10T07:00:00Z,0.44852579,2827158,541OC0005
541OC0005,2005-05-12T07:00:00Z,0.53654094,2827158,541OC0005
541OC0005,2002-05-16T07:00:00Z,0.52134657,2827158,541OC0005
541OC0005,2007-05-17T07:00:00Z,0.279358,2827158,541OC0005
541OC0005,2001-05-18T07:00:00Z,0.46516478,2827158,541OC0005
541OC0005,2004-05-20T07:00:00Z,0.61029749,2827158,541OC0005
541OC0005,2000-05-21T07:00:00Z,0.39759599,2827158,541OC0005
541OC0005,2003-05-22T07:00:00Z,0.5920214,2827158,541OC0005
541OC0005,2006-05-24T07:00:00Z,0.58509446,2827158,541OC0005
541OC0005,2011-06-16T07:00:00Z,0.53978734,2827158,541OC0005
541OC0006,2009-04-22T07:00:00Z,0.36549038,2827158,541OC0006
541OC0006,2010-04-22T07:00:00Z,0.36203563,2827158,541OC0006
541OC0006,2008-05-11T07:00:00Z,0.3289687,2827158,541OC0006
541OC0006,2005-05-12T07:00:00Z,0.4793242,2827158,541OC0006
541OC0006,2001-05-16T07:00:00Z,0.48031803,2827158,541OC0006
541OC0006,2002-05-16T07:00:00Z,0.44699619,2827158,541OC0006
541OC0006,2007-05-17T07:00:00Z,0.42325691,2827158,541OC0006
541OC0006,2004-05-20T07:00:00Z,0.6215941,2827158,541OC0006
541OC0006,2000-05-21T07:00:00Z,0.42944632,2827158,541OC0006
541OC0006,2003-05-22T07:00:00Z,0.4637768,2827158,541OC0006
541OC0006,2006-05-24T07:00:00Z,0.64775425,2827158,541OC0006
541OC0006,2011-06-16T07:00:00Z,0.45414229,2827158,541OC0006
101WE1111,2002-08-06T07:00:00Z,0.85056958,23949493,101WE1111
102PS0139,2010-08-09T07:00:00Z,1.07657446,23936337,102PS0139
102PS0177,2012-08-28T07:00:00Z,1.05580056,23945257,102PS0177
102PS0331,2017-07-11T07:00:00Z,1.17192317,23936111,102PS0331
103FC1106,2014-07-15T07:00:00Z,0.99017254,22226634,103FC1106
103FCA168,2013-07-24T07:00:00Z,1.10414505,22226990,103FCA168
103FCA168,2009-08-18T07:00:00Z,1.02833908,22226990,103FCA168
103PS0217,2013-09-10T07:00:00Z,1.03511899,22226948,103PS0217
103RDCBCC,2011-07-21T07:00:00Z,1.01789446,22226612,103RDCBCC
103STCNSR,2011-08-09T07:00:00Z,0.81595435,22227560,103STCNSR
103WE0585,2000-09-15T07:00:00Z,1.0316305,22227602,103WE0585
103WE0817,2004-05-19T07:00:00Z,1.05831264,22226782,103WE0817
103WE0817,2001-06-14T07:00:00Z,0.98473719,22226782,103WE0817
103WE0817,2003-07-22T07:00:00Z,0.86160169,22226782,103WE0817
103WE0817,2003-07-31T07:00:00Z,0.90461912,22226782,103WE0817
103WE0817,2004-08-03T07:00:00Z,0.47061976,22226782,103WE0817
103WE1072,2002-05-24T07:00:00Z,0.75106398,22226752,103WE1072
103WE1072,2003-07-23T07:00:00Z,0.83358123,22226752,103WE1072
103WER026,2003-07-29T07:00:00Z,1.18521758,22226750,103WER026
103WER026,2003-07-29T07:00:00Z,1.05798469,22226750,103WER026
103WER026,2012-08-15T07:00:00Z,0.94328611,22226750,103WER026
103WER029,2016-06-13T07:00:00Z,0.78766513,22226788,103WER029
103WER029,2017-06-20T07:00:00Z,0.95942664,22226788,103WER029
103WER029,2014-07-16T07:00:00Z,1.08522013,22226788,103WER029
103WER029,2015-07-21T07:00:00Z,0.91082015,22226788,103WER029
103WER029,2003-07-30T07:00:00Z,1.05612595,22226788,103WER029
103WER029,2003-07-30T07:00:00Z,0.97628635,22226788,103WER029
103WER029,2018-08-08T07:00:00Z,1.02139076,22226788,103WER029
103WER030,2003-07-31T07:00:00Z,0.70914256,22227610,103WER030
103WER030,2003-07-31T07:00:00Z,0.73304613,22227610,103WER030
103WER030,2011-08-10T07:00:00Z,0.84846212,22227610,103WER030
105CE0029,2004-08-17T07:00:00Z,0.66168216,3917966,105CE0029
105CE0073,2004-07-13T07:00:00Z,0.74946582,3918426,105CE0073
105CE0073,2004-07-13T07:00:00Z,0.86110975,3918426,105CE0073
105CE0141,2005-07-12T07:00:00Z,0.78914764,361921,105CE0141
105CE0141,2005-07-12T07:00:00Z,0.75176877,361921,105CE0141
105CE0149,2005-09-27T07:00:00Z,1.03140957,4442318,105CE0149
105CE0149,2005-09-27T07:00:00Z,1.07084666,4442318,105CE0149
105CE0173,2005-07-12T07:00:00Z,0.40990454,3917192,105CE0173
105CE0173,2005-07-12T07:00:00Z,0.49899642,3917192,105CE0173
105CE0205,2006-06-19T07:00:00Z,0.73754092,3917288,105CE0205
541OC0007,2010-04-23T07:00:00Z,0.36897338,2827158,541OC0007
541OC0007,2009-04-24T07:00:00Z,0.34203151,2827158,541OC0007
541OC0007,2012-04-28T07:00:00Z,0.32977971,2827158,541OC0007
541OC0007,2008-05-11T07:00:00Z,0.40559911,2827158,541OC0007
541OC0007,2005-05-12T07:00:00Z,0.51316751,2827158,541OC0007
105CE0205,2006-06-19T07:00:00Z,0.84460137,3917288,105CE0205
105CE0269,2006-09-06T07:00:00Z,0.42328749,3917126,105CE0269
105CE0329,2007-07-17T07:00:00Z,1.04620918,8257849,105CE0329
105CE0329,2007-07-17T07:00:00Z,0.99233792,8257849,105CE0329
105CE0329,2014-07-23T07:00:00Z,1.19051092,8257849,105CE0329
105CE0381,2007-07-16T07:00:00Z,0.85939834,3917948,105CE0381
105CE0381,2007-07-16T07:00:00Z,0.74035584,3917948,105CE0381
105CE0489,2005-07-13T07:00:00Z,0.91618944,3800891,105CE0489
105CE0489,2005-07-13T07:00:00Z,0.82859251,3800891,105CE0489
105CE0525,2005-09-08T07:00:00Z,0.47641986,948010088,105CE0525
105CE0525,2005-09-08T07:00:00Z,0.66822859,948010088,105CE0525
105CE0557,2005-09-07T07:00:00Z,0.57885147,3799671,105CE0557
105CE0557,2005-09-07T07:00:00Z,0.56160276,3799671,105CE0557
105CE0685,2007-07-18T07:00:00Z,0.71882663,3917120,105CE0685
105CE0685,2007-07-18T07:00:00Z,0.83682941,3917120,105CE0685
105CE0765,2004-07-12T07:00:00Z,1.09833315,3918402,105CE0765
105CE0765,2004-07-12T07:00:00Z,1.11251498,3918402,105CE0765
105CR0901,2014-07-23T07:00:00Z,0.41727239,4442592,105CR0901
105CR0901,2014-08-11T07:00:00Z,0.46257715,4442592,105CR0901
105CR0913,2014-08-12T07:00:00Z,0.55380726,362143,105CR0913
105FC1116,2014-08-05T07:00:00Z,0.77160064,2557043,105FC1116
105FC1120,2014-07-30T07:00:00Z,0.96252887,8265420,105FC1120
105FC1297,2014-07-22T07:00:00Z,1.10429229,8257759,105FC1297
105FCA010,2008-09-03T07:00:00Z,1.17804859,359295,105FCA010
105FCA020,2009-08-05T07:00:00Z,0.51128105,4442592,105FCA020
105FCA020,2008-09-18T07:00:00Z,0.43795924,4442592,105FCA020
105FCA040,2008-09-20T07:00:00Z,0.55130878,4439896,105FCA040
105FCA056,2008-09-19T07:00:00Z,0.41875409,4442410,105FCA056
105FCA068,2008-09-21T07:00:00Z,0.78297889,362143,105FCA068
105FCA116,2009-07-08T07:00:00Z,1.10539904,8257773,105FCA116
105FCA116,2019-07-10T07:00:00Z,0.83373779,8257773,105FCA116
105FCA116,2013-07-16T07:00:00Z,1.06786707,8257773,105FCA116
105FCA116,2019-08-06T07:00:00Z,1.05726432,8257773,105FCA116
105FCA132,2009-07-07T07:00:00Z,1.23843124,361533,105FCA132
105FS0416,2013-09-24T07:00:00Z,1.11706411,4439616,105FS0416
105FS0425,2011-08-10T07:00:00Z,1.14994038,8257711,105FS0425
105FS0428,2011-08-03T07:00:00Z,1.03264949,8257421,105FS0428
105NWC151,2013-06-26T07:00:00Z,0.92268993,2557039,105NWC151
105PS0028,2008-08-12T07:00:00Z,0.59081313,948010238,105PS0028
105PS0028,2008-08-26T07:00:00Z,0.7141082,948010238,105PS0028
105PS0043,2008-09-17T07:00:00Z,1.0909669,360453,105PS0043
105PS0067,2009-08-24T07:00:00Z,1.14394921,8258279,105PS0067
105PS0067,2009-09-15T07:00:00Z,1.17134765,8258279,105PS0067
105PS0069,2009-08-18T07:00:00Z,0.99840099,4441596,105PS0069
105PS0083,2009-09-08T07:00:00Z,1.16436883,8257681,105PS0083
105PS0090,2012-08-07T07:00:00Z,1.12651693,8258405,105PS0090
541OC0007,2002-05-16T07:00:00Z,0.61044544,2827158,541OC0007
541OC0007,2001-05-17T07:00:00Z,0.58118886,2827158,541OC0007
541OC0007,2007-05-17T07:00:00Z,0.53192026,2827158,541OC0007
541OC0007,2004-05-20T07:00:00Z,0.55244534,2827158,541OC0007
541OC0007,2000-05-22T07:00:00Z,0.25761687,2827158,541OC0007
541OC0007,2003-05-22T07:00:00Z,0.52890618,2827158,541OC0007
541OC0007,2006-05-24T07:00:00Z,0.59443848,2827158,541OC0007
541OC0007,2011-06-16T07:00:00Z,0.38574741,2827158,541OC0007
541OC0008,2010-04-21T07:00:00Z,0.34230123,2827158,541OC0008
541OC0008,2009-04-24T07:00:00Z,0.37130076,2827158,541OC0008
541OC0008,2012-04-27T07:00:00Z,0.30578447,2827158,541OC0008
541OC0008,2008-05-11T07:00:00Z,0.3110051,2827158,541OC0008
541OC0008,2005-05-12T07:00:00Z,0.47644393,2827158,541OC0008
541OC0008,2007-05-16T07:00:00Z,0.29561881,2827158,541OC0008
541OC0008,2001-05-17T07:00:00Z,0.54219752,2827158,541OC0008
541OC0008,2002-05-17T07:00:00Z,0.51010845,2827158,541OC0008
541OC0008,2004-05-20T07:00:00Z,0.53297507,2827158,541OC0008
541OC0008,2000-05-22T07:00:00Z,0.3741294,2827158,541OC0008
541OC0008,2003-05-22T07:00:00Z,0.39530996,2827158,541OC0008
541OC0008,2006-05-24T07:00:00Z,0.59535516,2827158,541OC0008
541OC0008,2011-06-17T07:00:00Z,0.50728786,2827158,541OC0008
541OC0009,2009-04-21T07:00:00Z,0.41515906,948040223,541OC0009
541OC0009,2010-04-21T07:00:00Z,0.42723618,948040223,541OC0009
541OC0009,2012-04-27T07:00:00Z,0.1317303,948040223,541OC0009
541OC0009,2008-05-11T07:00:00Z,0.40482278,948040223,541OC0009
541OC0009,2007-05-16T07:00:00Z,0.33864905,948040223,541OC0009
105PS0090,2009-08-25T07:00:00Z,1.04007894,8258405,105PS0090
105PS0092,2008-08-11T07:00:00Z,1.10920968,8265412,105PS0092
105PS0097,2014-07-22T07:00:00Z,0.94658977,4439186,105PS0097
105PS0097,2009-09-08T07:00:00Z,1.11939062,4439186,105PS0097
105PS0107,2009-09-14T07:00:00Z,0.87398528,3798105,105PS0107
105PS0129,2010-08-11T07:00:00Z,1.08104105,4438708,105PS0129
105PS0149,2012-08-29T07:00:00Z,0.93777801,4441788,105PS0149
105PS0154,2011-08-09T07:00:00Z,1.07030658,8258357,105PS0154
105PS0188,2008-08-26T07:00:00Z,0.67807449,3917226,105PS0188
105PS0193,2012-08-29T07:00:00Z,0.9976732,4438928,105PS0193
105PS0195,2012-08-07T07:00:00Z,1.19729391,8258155,105PS0195
105PS0211,2013-08-20T07:00:00Z,1.31335205,3800947,105PS0211
105PS0211,2013-09-16T07:00:00Z,0.97711331,3800947,105PS0211
105PS0231,2013-08-29T07:00:00Z,0.6617128,3917406,105PS0231
105PS0259,2013-09-17T07:00:00Z,1.13233555,8258269,105PS0259
105PS0267,2014-07-21T07:00:00Z,1.07032759,360287,105PS0267
105PS0276,2009-09-01T07:00:00Z,0.58401743,2556977,105PS0276
105PS0276,2009-09-22T07:00:00Z,0.55876989,2556977,105PS0276
105PS0468,2009-09-01T07:00:00Z,0.93066173,2556363,105PS0468
105PS0540,2016-06-14T07:00:00Z,1.01170789,8264738,105PS0540
105PS0540,2015-08-03T07:00:00Z,1.00199061,8264738,105PS0540
105PS0540,2010-08-05T07:00:00Z,1.14399686,8264738,105PS0540
105PS0540,2017-08-15T07:00:00Z,1.094395,8264738,105PS0540
105PS0540,2010-09-15T07:00:00Z,0.97734307,8264738,105PS0540
105PS0540,2018-09-18T07:00:00Z,1.05778341,8264738,105PS0540
105PS0660,2010-08-03T07:00:00Z,0.85745564,2557039,105PS0660
105PS1148,2012-09-18T07:00:00Z,0.4358821,361981,105PS1148
105PS1404,2013-08-28T07:00:00Z,1.08005074,361695,105PS1404
105PS1492,2014-08-06T07:00:00Z,0.34994233,2557113,105PS1492
105WE0579,2002-05-22T07:00:00Z,0.85565811,4442708,105WE0579
105WE0579,2003-07-28T07:00:00Z,0.36404244,4442708,105WE0579
105WE0583,2001-08-01T07:00:00Z,1.05424324,3798115,105WE0583
105WE0583,2001-08-01T07:00:00Z,0.93620449,3798115,105WE0583
105WE0583,2001-08-01T07:00:00Z,1.07001366,3798115,105WE0583
105WE0591,2003-07-25T07:00:00Z,0.71377806,4440566,105WE0591
105WE0591,2000-09-07T07:00:00Z,0.46180351,4440566,105WE0591
105WE0592,2015-07-13T07:00:00Z,1.12007843,3918664,105WE0592
105WE0592,2000-09-12T07:00:00Z,1.21474842,3918664,105WE0592
105WE0592,2000-09-12T07:00:00Z,1.12049109,3918664,105WE0592
105WE0592,2000-09-12T07:00:00Z,1.15848769,3918664,105WE0592
105WE0598,2014-07-24T07:00:00Z,1.11073334,8258763,105WE0598
105WE0598,2002-09-17T07:00:00Z,0.99718932,8258763,105WE0598
105WE0598,2002-09-17T07:00:00Z,1.01655358,8258763,105WE0598
105WE0601,2000-09-05T07:00:00Z,0.9518748,362205,105WE0601
105WE0603,2001-06-22T07:00:00Z,0.56849038,4442616,105WE0603
105WE0603,2003-07-29T07:00:00Z,0.60708403,4442616,105WE0603
105WE0604,2000-09-13T07:00:00Z,1.21953192,3801149,105WE0604
105WE0604,2000-09-13T07:00:00Z,1.15635313,3801149,105WE0604
105WE0604,2000-09-13T07:00:00Z,1.1400684,3801149,105WE0604
105WE0613,2000-08-08T07:00:00Z,0.87459701,4438784,105WE0613
105WE0613,2000-08-08T07:00:00Z,1.04339064,4438784,105WE0613
105WE0613,2000-08-08T07:00:00Z,0.9339972,4438784,105WE0613
