stationcode,sampledate,result,masterid,latitude,longitude,huc,county,smcshed
SMC09174,2012-07-13T07:00:00Z,0.5031441209878671,SMC09174,32.83971,-117.002,907,San Diego,Mission Bay and San Diego River
SMC09503,2012-06-04T07:00:00Z,1.0575087746305614,402S09503,34.49757,-119.33913,402,Ventura,Ventura
SMC07126,2012-07-12T07:00:00Z,0.5225877125119752,SMC07126,32.84359,-117.03457,907,San Diego,Mission Bay and San Diego River
SMC08094,2012-06-28T07:00:00Z,0.3415482958025749,SMC08094,33.81951,-117.8536,801,Orange,Lower Santa Ana
SMC06794,2012-07-18T07:00:00Z,0.7185700650468891,SMC06794,32.83039,-116.64687,909,San Diego,Southern San Diego
SMC08414,2012-06-28T07:00:00Z,0.45414036695320137,SMC08414,33.79629,-117.81995,801,Orange,Lower Santa Ana
SMC06036,2012-06-11T07:00:00Z,0.4142869328931227,SMC06036,34.23092,-118.9349,408,Ventura,Calleguas
SMC06918,2012-07-16T07:00:00Z,0.49152833834585713,SMC06918,32.78184,-117.184,906,San Diego,Mission Bay and San Diego River
SMC06298,2012-07-17T07:00:00Z,0.8428210969191725,SMC06298,32.91213,-116.57126,909,San Diego,Southern San Diego
SMC06302,2012-06-28T07:00:00Z,0.413335293660956,SMC06302,33.86699,-117.85366,801,Orange,Lower Santa Ana
SMC05332,2012-06-11T07:00:00Z,0.5480601366988205,SMC05332,34.18682,-118.90741,408,Ventura,Calleguas
902M20173,2016-06-07T07:00:00Z,0.4112135912541539,902M20173,33.40528,-117.18096,902,San Diego,Northern San Diego
SMC05379,2012-06-15T07:00:00Z,0.5654941351615864,SMC05379,33.72777,-117.77913,801,Orange,Lower Santa Ana
SMC05764,2012-06-19T07:00:00Z,0.6207457720589661,SMC05764,34.23123,-119.11091,408,Ventura,Calleguas
SGLT506,2012-07-06T07:00:00Z,0.7153181025556575,SGLT506,34.06173,-117.99129,405,Los Angeles,San Gabriel
SMC05956,2012-06-19T07:00:00Z,0.49252876675456586,SMC05956,34.22875,-118.97109,408,Ventura,Calleguas
SMC05230,2012-07-02T07:00:00Z,0.27164849783625244,SMC05230,33.87308,-117.75077,801,Orange,Lower Santa Ana
SMC05296,2012-06-26T07:00:00Z,0.9479616063996379,SMC05296,34.55457,-118.77525,403,Ventura,Santa Clara
SMC03452,2012-06-13T07:00:00Z,1.005153982577201,SMC03452,34.30354,-117.8323,405,Los Angeles,San Gabriel
SMC04204,2012-07-11T07:00:00Z,0.9197047303828175,412S04204,34.20358,-118.01853,412,Los Angeles,Los Angeles
SMC04532,2012-07-11T07:00:00Z,0.466184262385859,SMC04532,34.15595,-118.28771,412,Los Angeles,Los Angeles
SMC04880,2012-06-06T07:00:00Z,0.8027120058093202,SMC04880,34.308839999999996,-118.09829,412,Los Angeles,Los Angeles
SMC04008,2012-06-19T07:00:00Z,0.5287445083483372,SMC04008,34.28342,-118.80803,408,Ventura,Calleguas
SMC04121,2012-07-09T07:00:00Z,0.44078346128673374,SMC04121,33.18466,-117.19833,904,San Diego,Central San Diego
SMC04132,2012-06-11T07:00:00Z,0.485935643544674,SMC04132,34.21472,-118.88416,408,Ventura,Calleguas
SMC03737,2012-07-06T07:00:00Z,0.9840492235070716,SMC03737,33.11968,-117.09259,904,San Diego,Central San Diego
SMC03929,2012-07-05T07:00:00Z,0.44284135486108045,SMC03929,33.17865,-117.30453,904,San Diego,Central San Diego
SMC03984,2012-06-18T07:00:00Z,1.0247979190149636,SMC03984,34.24613,-117.90186,405,Los Angeles,San Gabriel
SMC04000,2012-07-30T07:00:00Z,1.2087798197830357,SMC04000,34.23282,-117.74777,405,Los Angeles,San Gabriel
SMC02712,2012-06-07T07:00:00Z,0.8035735598952042,SMC02712,34.36179,-118.30348,412,Los Angeles,Los Angeles
SMC02972,2012-07-18T07:00:00Z,0.9425447599738773,SMC02972,34.24957,-118.0755,405,Los Angeles,San Gabriel
SMC01912,2012-07-12T07:00:00Z,0.6693156858303777,SMC01912,34.23429,-118.60295,412,Los Angeles,Los Angeles
SMC03222,2012-07-11T07:00:00Z,0.6811199638640053,SMC03222,33.02209,-117.06725,905,San Diego,Central San Diego
SMC03438,2012-07-02T07:00:00Z,0.6358758560434179,SMC03438,33.93708,-117.79252,801,Orange,Lower Santa Ana
SMC02139,2012-07-17T07:00:00Z,1.1498223005812738,403S02139,34.6714,-119.01717,403,Ventura,Santa Clara
SMC02568,2012-06-12T07:00:00Z,0.6257778734235746,SMC02568,34.27866,-118.22031,412,Los Angeles,Los Angeles
SMC02028,2012-07-12T07:00:00Z,0.31023314572649113,SMC02028,34.12868,-118.16553,412,Los Angeles,Los Angeles
SMC02075,2012-07-17T07:00:00Z,0.9993906848814067,SMC02075,34.6719,-119.03758,403,Ventura,Santa Clara
SMC01934,2012-06-15T07:00:00Z,0.615239604117176,SMC01934,33.49,-117.66595,901,Orange,San Juan
907M23331,2016-06-08T07:00:00Z,0.43603464128089053,907M23331,32.84058,-116.90771,907,San Diego,Mission Bay and San Diego River
SMC01987,2012-06-15T07:00:00Z,0.7357548419287969,SMC01987,33.59028,-117.71185,901,Orange,San Juan
SMC01689,2012-07-05T07:00:00Z,0.30472581649398706,SMC01689,33.26814,-117.23574,903,San Diego,Northern San Diego
SMC01772,2012-07-11T07:00:00Z,0.6564401864233951,SMC01772,34.11001,-118.1228,412,Los Angeles,Los Angeles
