stationcode,comid,masterid
204R00319,2803791,204R00319
312CAW052,17632248,312CAW052
403M01505,17574589,403M01505
507CE0581,2765984,507CE0581
519CE0011,948021154,519CE0011
531CE0214,3953089,531CE0214
536CE0106,17081919,536CE0106
536CE0330,17074765,536CE0330
628CE0088,22660549,628CE0088
902M18864,22548207,902M18864
SMC41625,17562666,SMC41625
403STC071,17569253,403STC071
412LAR016,22514980,412LAR016
504PS0574,12075510,504PS0574
521FCA170,2769334,521FCA170
603PS0132,20276261,603PS0132
632PS0110,8924075,632PS0110
633PS0003,8922399,633PS0003
CAT08722-050,8945205,CAT08722-050_nomatch
LAR1288,948070461,SMC01288
CAT08722-112,8942875,CAT08722-112_nomatch
201TVY030,5330577,201TVY030
203COR260,1671443,203COR260_nomatch
204IND200,2808579,204IND200
204MRT100,2806295,204MRT100_nomatch
204WRD030,948050144,204WRD030_nomatch
204WRD060,2804003,204WRD060_nomatch
205STE020,17693251,205STE020
206MIL060,1669919,206MIL060_nomatch
VRBM1,17585726,VRBM1_nomatch
SGB05535-106,22525671,SGB05535-106_nomatch
207WAL100,-9999,207WAL100_nomatch
304ELCELC,17687977,304ELCELC_nomatch
304TWOTWO,17682276,304TWOTWO_nomatch
307ROBCYN,17600119,307ROBCYN_nomatch
309GABOLD,17604321,309GABOLD_nomatch
310AGCBID,8193667,310AGCBID_nomatch
403STCEST,17573705,403STCEST
517CCPVDx,8061295,517CCPVDx
519ARH193,948021154,519ARH193
Islay1,8192733,Islay1_nomatch
526PSCBBL,7930149,526PSCBBL
536TRC119,17074527,536TRC119
543EAN030,-9999,543EAN030_nomatch
601LVC001,20287304,601LVC001
603WER242,20274287,603WER242
631SLK001,10742574,631SLK001
633WIL001,8922467,633WIL001
802SJN851,22535254,802SJN851
907BCT,20332536,907BCT
BlackStar3,22561046,SMC03907
DosPueblos2,17594347,SMC20562
R3_TUNACYN,-9999,404SMB041
SEDTMDL_106,17112775,540SED106
R5BIO-240,20272655,603GSCADC
REF-CWC,20325041,911NP9UCW
R5BIO-6476,20324987,911TJNPC2
LCPCT2,20325091,LCPCT2_nomatch
R5BIO-319,22524629,R5BIO-319_nomatch
SCC,948070405,SCC_nomatch
pepARRSEQL,20365117,pepARRSEQL_nomatch
R5BIO-109,8040307,R5BIO-109
R5BIO-149,14982038,R5BIO-149_nomatch
516PS0324,15012649,516PS0324
526PS0076,7929215,526PS0076
526PS1100,7932109,526PS1100
SMC01097,22549067,902S01097
NF508723-045,7928861,NF508723-045_nomatch
SGWC2,22523195,SGWC2_nomatch
412S00684,22515002,SMC00684
SMC01424,22522841,SMC01424
SWHC1,20333030,SWHC1_nomatch
VENTURA1,17586972,VENTURA1_nomatch
525SPIHZL,7965057,525SPIHZL
901S01849,20348657,901S01849
909S14218,20333018,909S14218
910S14762,20333562,910S14762
SMC03011,20350507,SMC03011
904S04121,20341843,SMC04121
SMC04934,20329180,SMC04934
909S06298,20332758,SMC06298
SMC08766,22525157,SMC08766
SMC14211,20355376,801M13849
SMC16168,20365093,404S16168
905S15201,20329746,905S15201
404S15464,20364969,SMC15464
R5BIO-247,14936987,R5BIO-247_nomatch
SMC15677,22563070,SMC15677
801S16045,22563104,SMC16045
SMC20092,17574613,SMC20092
SMC20497,17586972,SMC20497
SMC20994,20365909,SMC20994
SMC21069,22547073,SMC21069
404S33670,20364725,404S33670
802S33361,22536092,802S33361
802S33561,22536092,802S33561
801S21371,22560716,SMC21371
SMC21382,17574683,SMC21382
SMC21822,948070535,SMC21822
SMC21921,22563104,SMC21921
SMC32718,20332828,SMC32718
SMC32897,22532826,SMC32897
SMC33179,22549075,SMC33179
SMC34230,20365153,404S34230
801DRC025,22558770,801DRC025
SA-C-07-025,22558770,801DRC025_archived
SA-B-06-032,22558086,801M16749
SA-B-05-028,24843814,801LYC028
SMC_TRKD,20355620,SMC_TRKD
SA-A-06-019,22563092,801PFB019_bad
SJ-C-06-020,22535242,802SWC020
SMC34888,22561124,SMC34888
SMCR8_022,22559676,SMC25493X
SA-C-07-100,22558644,801MFC100
SA-C-07-087,22558824,801SAR087
SMCR8_085,22557960,801STW085
SMCR8_149,22561164,801STC149
SMCR8_153,22563188,801TMW153
802NJR147,22535148,802NJR147
802SJR116,22532986,802SJR116
SMCR8_156,22555644,SMCR8_156
SA-A-07-151,948070235,SA-A-07-151
SMCR8_184,22555476,801BRC184x
801HNC203,22558720,801HNC203
SMC_UNK2,22536082,SMC_UNK2
SMCR8_197,22560464,801RB8197
SMCR8_207,22560402,801RB8207
SMCR8_180,20355428,801SDC180_archived
SMCR8_201,22557906,801RB8201
SMCR8_181,22557808,SMCR8_181
SMCR8_192,22554968,SMCR8_192
SMCR8_202,22558954,SMCR8_202
801MHC219,22558904,801MHC219
SMC46454,22555146,SMC46454
SMCR8_229,22563172,801RB8229
SMCR8_236,22561264,801RB8236
SMCR8_240,22555556,801RB8240
SMCR8_254,22558770,801RB8254
801WCC247,22555238,801WCC247
SMCR8_243,22534638,802PVD243
SMCR8_218,22535100,802RB8218
SMCR8_219,22558904,SMC46884
SMCR8_272,22558960,801MIC272
SMCR8_262,22560716,801RB8262
SMCR8_274,22555238,801RB8274
SMCR8_277,22557812,801RB8277
SMCR8_259,22556158,801XXX259
SJ-C-06-267,22535384,802HYC267
SMCR8_270,22536110,802SWC270
SMCR8_275,22525755,845RB8275
SMCR8_268,22536128,SMCR8_268
SMCR8_269,22535172,SMCR8_269
203R00295,1671603,203R00295
206CE0023,1669271,206CE0023
522CE0231,7994535,522CE0231
SMCR8_289,22554614,801RB8289
SMCR8_293,22563466,801RB8293
SMCR8_294,22563026,801RB8294
SMCR8_299,20355392,801RB8299
SMCR8_304,22555228,801RB8304
801XXX305,20355334,801XXX305
SMCR8_297,22535104,802RB8297
903M20153,20342487,903M20153
204R01460,2804511,204R01460
204R02248,2804635,204R02248_nomatch
205R00067,948050174,205R00067
205R00174,17692593,205R00174
205R00366,17692595,205R00366
403R4S137,17574407,403R4S137
507SPIMBL,2765910,507SPIMBL
507SPISFD,2766022,507SPISFD
518PS0093,8029316,518PS0093
603PS0108,948090773,603PS0108
637CE0511,20291233,637CE0511
SMC03646,22518268,SMC03646
902S05173,22548497,902S05173
408S04132,17564924,SMC04132
907S04134,20331434,SMC04134
403S04956,17575713,SMC04956
SMC04972,22522825,SMC04972
SMC05017,20341947,SMC05017
909S05146,20332968,SMC05146
902S05165,22547081,SMC05165
801S05230,948070545,SMC05230
SMC05109,22548249,SMC05109
SMC23297,20365153,404S23297
412S04204,22514858,412S04204
SMC19399,20355458,801S19399
901S04309,20351601,901S04309
SMC04175,17586810,SMC04175
SMC04239,17587720,SMC04239
SMC04264,20364815,SMC04264
SMC04294,20331208,SMC04294
SMC04383,17585808,SMC04383
SMC16169,22561262,SMC16169
SMC06456,20365153,404S06456
527PS1156,7918053,527PS1156
SMCR8_155,22535098,SMC36414
SMCR8_142,22561128,801STC142
802NJR160,22535268,802NJR160
801S06302,22527369,SMC06302
SMC06356,17564110,SMC06356
SMC06458,20331590,SMC06458
SMC06467,22563198,SMC06467
SA-C-06-035,22558972,801M15559
SMC08846,20365153,404S08846
910S06570,20334508,910OTJMC5
SMC06612,163864409,SMC06612
SMC08845,22532816,SMC08845
SMC09091,20355330,SMC09091
SMC09118,22560942,SMC09118
909S09162,20332982,SMC09162
907S09174,20331412,SMC09174
SMC09286,20331482,SMC09286
902S09325,22547083,SMC09325
SMC16493,17569237,403S16493
404S16232,20365889,404S16232
SMC16516,20364815,404S16516
SMC09534,22525157,SMC09534
909S16266,20334446,SMC16266
402S16446,17586810,SMC16446
SMC16832,22525157,SMC16832
403S16892,17574649,SMC16892
402S16980,17587602,SMC16980
SMC19945,17585796,SMC19945
SMCR8_121,22555904,801CYC121
SA-C-05-126,22558764,801EBC126
801MLC069,22557786,801MLC069
SMCR8_118,22554598,801M16273
801SAR124,22558296,801SAR124
SJ-B-06-116,22532986,802SJR116_archived
SMC23495,20332998,SMC23495
SMC24222,22560772,SMC24222
SMCR8_128,22557808,SMCR8_128
SMCR8_131,22558724,SMC_UNK1
SMC25668,20364891,404S25668
404S26670,20364737,404S26670
404S35418,20365043,404S35418
SMC37670,20364891,404S37670
802S25288,22536110,802S25288
801S24921,22560746,SMC24921
SMC26288,22561102,SMC26288
SMC35697,948070372,SMC35697
802S35837,22535256,SMC35837
SMC37632,20334494,SMC37632
SMC44532,20364827,404S44532
801NLC105,22557768,801NLC105
SA-C-07-105,22557768,801NLC105_archived
SA-A-06-110,22560454,801SAR110_archived
801WBC106,22558868,801WBC106
SA-C-07-106,22558868,801WBC106_archived
SMCR8_107,22535470,802RB8107
802S37697,22534630,802S37697
901S39498,948070434,901S39498
SMC40887,22561196,SMC40887
SMC45745,20365117,404S45745
SMC48200,20365059,404S48200
SA-C-05-041,22554584,801CJW041
SA-C-06-007,22558926,801MIC007
SMCR8_011,22563160,801SAR011
SMCR8_112,22557744,801XXX112
SMC45233,22535234,802S45233
SMCR8_070,22536082,802SNC070
901S45253,20350533,901S45253
907S46499,20334398,907S46499
SMCR8_050,22558836,801HBC050
SA-C-06-062,22554844,801LYC062
SMCR8_042,22563070,801MIC042_archived
SMCR8_048,20355328,801PCW048
801PFB019,22563072,801PFB019
SMCR8_068,22554646,SMC13216
801STW055,22557960,801STW055
SA-B-06-055,22557960,801STW055_archived
SMCR8_046,22563198,801XXX046
SMCR8_057,22557766,SMCR8_057X
114PS0209,8271511,114PS0209
309PS0072,948060165,309PS0072
507PS0286,2764564,507PS0286
NF508723-022,8040879,518CDS022_archived
SA-B-06-079,22554798,801CJW079
SMCR8_071,22563222,801M13965
801STW085,22557960,SMCR8_085
Whitewater River1,22591033,Whitewater River1_nomatch
Sentinel4,21609317,Sentinel4_nomatch
SMCR8_080,22558868,SMC31392
SMC01434,20332754,907S01434
SMC01452,22515818,SMC01452
Sentinel5,21609231,Sentinel5_nomatch
405S01454,22525657,SMC01454
412S01464,22515786,SMC01464
405S01504,22524645,SMC01504
SMC01512,17563922,SMC01512
SMC01544,22515726,SMC01544
SMC01550,20365177,SMC01550
SMC01860,17564046,SMC01860
SMCR8_165,22560478,801SAR165
SMCR8_163,22535148,802NJR163
SMC01953,20329804,905S01953
SMC01881,20342539,SMC01881
405S01902,22523247,SMC01902
SMC01909,20341649,SMC01909
412S01912,22515754,SMC01912
801S01923,20355428,SMC01923
SMC01960,17564880,SMC01960
SMCR8_162,948070538,SMC06521
SMCR8_167,22555684,801RB8167
SMCR8_179,22561196,801RB8179
801S04078,22560356,801S04078
SA-C-05-168,22559662,801SAR168
SMCR8_175,22525755,845RB8175
SMC04086,20325349,SMC04086
SMC04054,20331414,SMC04054
SMC04399,17586972,SMC04399
SMC05243,17568577,SMC05243
SMCR8_178,20355380,SMC21087
SMC17016,20364887,404S17016
SMC06679,22557744,801S06679
801SGB017,22527377,801SGB017
902S02357,22549107,902S02357
906S02246,20331170,906S02246
SMC02208,22523161,SMC02208
SMC02228,22515036,SMC02228
SMC02270,948070536,SMC02270
SMC02284,22523205,SMC02284
SMC02302,22524989,SMC02302
801S03111,22554696,801S03111
SMC03133,22556380,801S03133
802S03234,22535454,802S03234
901S04409,20348383,901S04409
907S03210,20330038,907S03210
904S02417,20342575,SMC02417
907S03110,20331934,SMC03110
405S03216,22522679,SMC03216
SMC03268,17562656,SMC03268
405S03280,22524631,SMC03280
SMC05247,948070359,403S05247
SMC05291,17567911,403S05291
801S04471,22555908,801S04471
403S04432,17574765,SMC04432
SMC04441,20341861,SMC04441
SMC04524,22520983,SMC04524
412S04532,22514960,SMC04532
902S04661,22548481,SMC04661
403S05296,17570065,SMC05296
907S04426,20330010,SMC04426
901S06798,20350539,901S06798
901S06851,20348813,901S06851
907S05514,20332496,907S05514
408S05332,17564124,SMC05332
801S05379,20357190,SMC05379
911S05402,20325065,SMC05402
SMC05423,17586992,SMC05423
SMC06714,20331588,SMC06714
SMC06740,17564136,SMC06740
909S06794,20334440,SMC06794
SMC09591,22555958,801S09591
801S10259,20355506,801S10259
SMC09698,22536092,802S09698
802S10146,22535332,802S10146
901S06969,20348657,901S06969
402S06863,17586460,SMC06863
SMC10189,22560520,SMC10189
907S10198,20333038,SMC10198
SMC10685,24843756,SMC10685
SMC06926,20365905,SMC06926
SMC18093,17569203,403S18093
SMC17266,20364891,404S17266
SMC17664,20364891,404S17664
801S11181,22563104,SMC11181
SMC17056,17574541,SMC17056
403S17378,17574691,SMC17378
SMC17692,17574613,SMC17692
SMC17918,948070399,SMC17918
SMC18046,17586810,SMC18046
404S18116,948070152,SMC18116
404S26868,20364949,404S26868
404S27470,20364695,404S27470
404S28068,20364891,404S28068
SMC08727,22554790,801S08727
802S11394,22536110,802S11394
SMC26909,22532986,802S26909
SMC27709,22534666,802S27709
402S11343,17586850,SMC11343
404S11384,20364969,SMC11384
802S29064,22535148,SMC29064
SMC19286,20357190,801S19286
904S12185,20341953,904S12185
907S11430,20332934,907S11430
SMC11581,22563070,SMC11581
Sentinel6,22059109,Sentinel6_nomatch
902S11593,22548347,SMC11593
SMC11727,17586488,SMC11727
SMC18545,17586470,SMC18545
SMC18656,17574331,SMC18656
909S19228,20334494,SMC19228
911S12262,20326413,911S12262
SMC06288,22522745,SMC06288
404S12814,20365177,SMC12814
405S12862,22525157,SMC12862
SMC13062,20331504,SMC13062
SMC19466,20364757,SMC19466
SMC19552,20331402,SMC19552
SMC19669,22545387,SMC19669
SMC19697,948070372,SMC19697
SMC12246,20331398,SMC12246
SMC08040,20365885,404S08040
SMC13160,20364737,404S13160
SMC08068,17562630,408M03052
b11404300,2775564,518GZC001
SMC07485,22563070,801S07485
801S07085,22563104,SMC07085
SMC00206,20350529,SMC00206
SMC07828,17563908,SMC07828
SMC08150,20331414,SMC08150
SMC00271,17568061,403M01539
509PS0334,8020478,509PS0334
519PS0340,15022285,519PS0340
524PS0342,2800691,524PS0342
SMC00313,20348383,901S00313
SMC00288,22524733,SMC00288
SMC02976,22524613,SMC02976
SGLR00236,22523203,SMC00236
SGLR00254,22524983,SMC00254
SGUR00208,22522803,SMC41102
514PS0351,15007315,514PS0351
520PS0455,1680009,520PS0455
523PS0414,7984215,523PS0414
524PS0394,2782321,524CLCR2x
537PS0386,21609893,537PS0386
405S00686,22523225,SMC00686
SMC00693,20341661,SMC00693
845S00702,22524965,SMC00702
SMC00710,20331322,SMC00710
SMC00729,20341931,SMC00729
403S01136,17572259,403S01136
404BA1144,20365109,404BA1144
SMC01128,20364949,404S01128
801S00791,22554612,801S00791
911S01142,20325195,911S01142
412S00748,22515016,SMC00748
801S00766,20355480,SMC00766
SMC01151,948070358,SMC01151
SMC01155,22561192,SMC01155
SMC01161,22549095,SMC01161
SMC01418,20332438,907S01418
403S01164,17574979,SMC01164
901S01555,20348689,SMC01555
SMC01962,948070399,SMC01962
SMC02436,17563970,SMC02436
408S03304,17563950,SMC03304
SGMR04670,22525157,SMC04670
408S05524,17563904,SMC05524
SMC13187,20355428,SMC13187
SMC19809,17585808,SMC19809
801S01655,22557916,801S01655
801S01671,22558774,801S01671
907S01610,20332536,907S01610
SMC01567,17585776,SMC01567_archived
SMC01606,20331408,SMC01606
