stationcode,sampledate,asci,comid,masterid
902M20173,2016-06-07T07:00:00Z,0.4112135912541539,22549103,902M20173
SGLT506,2012-07-06T07:00:00Z,0.7153181025556575,22524847,SGLT506
907M23331,2016-06-08T07:00:00Z,0.43603464128089053,20332970,907M23331
909M24937,2016-06-22T07:00:00Z,1.1186333483601114,20333036,909M24937
SMC01096,2016-06-14T07:00:00Z,0.7859637099719088,22514578,SMC01096
SMC07128,2014-06-03T07:00:00Z,0.540978131005628,22515710,SMC07128
SMC00324,2010-06-21T07:00:00Z,0.5720397051871966,17573681,ME-SCR
SMC00375,2010-06-08T07:00:00Z,0.5812104941688997,22555944,801S00375
801M16916,2016-05-25T07:00:00Z,0.6206001077689363,22560452,801M16916
SMC32718,2010-06-03T07:00:00Z,0.7507188303836927,20332828,SMC32718
845M10601,2016-05-19T07:00:00Z,0.7848343999123016,22527365,845M10601
SMC02622,2010-06-15T07:00:00Z,0.5094561890669375,22518110,SMC02622
SMC27709,2010-05-31T07:00:00Z,0.3304174908561008,22534666,802S27709
SMC32897,2010-06-21T07:00:00Z,0.651004779508744,22532826,SMC32897
SMC34888,2010-06-24T07:00:00Z,0.5961575647605244,22561124,SMC34888
SMC21822,2010-06-21T07:00:00Z,0.29875552320856014,948070535,SMC21822
SMC24222,2010-06-21T07:00:00Z,0.39999284233828175,22560772,SMC24222
517FCA046,2013-08-14T07:00:00Z,0.7354856533532769,8063401,517FCA046
SMC11727,2010-06-09T07:00:00Z,0.855235814975349,17586488,SMC11727
SMC10189,2010-06-24T07:00:00Z,0.45706086519055183,22560520,SMC10189
SMC10685,2010-07-01T07:00:00Z,0.5010117798464421,24843756,SMC10685
SMC08426,2010-06-08T07:00:00Z,0.4906853053536185,948070399,SMC08426
SMC09286,2010-06-09T07:00:00Z,1.049590204596392,20331482,SMC09286
901M14126,2016-05-17T07:00:00Z,0.4638696078813213,20348695,901M14126
SMC09591,2010-06-03T07:00:00Z,0.6912422238582404,22555958,801S09591
SMC09698,2010-06-09T07:00:00Z,0.9552601249174025,22536092,802S09698
SMC08335,2010-07-07T07:00:00Z,0.7395031654576392,948070372,SMC08335
SMC06714,2010-06-06T07:00:00Z,0.8223463818422377,20331588,SMC06714
SMC08150,2010-06-03T07:00:00Z,0.6600948451444048,20331414,SMC08150
517FCA222,2013-07-10T07:00:00Z,1.0338623545901413,8064197,517FCA222
SMC06467,2010-06-28T07:00:00Z,0.8041973292202972,22563198,SMC06467
SMC06653,2010-07-01T07:00:00Z,0.4214593412134997,22563032,SMC06653
SMC05702,2010-06-07T07:00:00Z,0.9966553117605274,20331462,SMC05702
SMC05759,2010-06-21T07:00:00Z,0.5854689996675838,17572963,SMC05759
