SiteTag,SampleDate,Metric1_TRC,Metric2_VCS,Metric3_VCQ,Metric4_AGNR,Metric5_RVW,Metric6_RSCVC,Metric7_MHPR,Metric81_hymod,Metric_82_hymod,Metric8_final,Idx_Score,masterid,latitude,longitude,huc,county,smcshed,stationcode,comid
304APS,6/23/14,100,100,100,100,100,75,100,75,100,87.5,95.3125,304APS,37.00144,-121.90514,304,Santa Cruz,SMC_out,304APS,17683402
304APT,6/6/17,75,100,0,50,25,37.5,75,100,0,50,51.5625,304APT,36.97391,-121.90273,304,Santa Cruz,SMC_out,304APT,17684386
304APT,7/19/18,75,100,0,25,25,37.5,75,75,50,62.5,50,304APT,36.97391,-121.90273,304,Santa Cruz,SMC_out,304APT,17684386
304BEP,1/21/16,75,100,75,75,50,37.5,100,50,100,75,73.4375,304BEP,37.1279,-122.12055,304,Santa Cruz,SMC_out,304BEP,17682316
304BH9,1/21/16,75,100,0,50,62.5,62.5,100,75,100,87.5,67.1875,304BH9,37.12665,-122.12162,304,Santa Cruz,SMC_out,304BH9,17682318
304BRA,6/27/14,0,80,60,50,37.5,25,75,50,75,62.5,48.75,304BRA,36.98066,-122.01726,304,Santa Cruz,SMC_out,304BRA,17684084
304SL9,6/18/14,60,100,60,25,37.5,50,100,25,75,50,60.3125,304SL9,37.08838,-122.0875,304,Santa Cruz,SMC_out,304SL9,17682398
304SOK,4/14/15,100,75,75,50,75,75,100,100,100,100,81.25,304SOK,36.98014,-121.95623,304,Santa Cruz,SMC_out,304SOK,17684378
304SOK,7/13/18,75,100,75,50,50,87.5,75,50,100,75,73.4375,304SOK,36.98014,-121.95623,304,Santa Cruz,SMC_out,304SOK,17684378
304SOU,5/28/15,25,75,100,75,87.5,87.5,100,100,100,100,81.25,304SOU,37.03089,-121.9453,304,Santa Cruz,SMC_out,304SOU,17683352
305BRI,10/21/14,60,20,0,0,25,75,50,100,50,75,38.125,305BRI,36.61423,-121.21056,305,San Benito,SMC_out,305SBRH25,17665645
305COR,6/15/17,75,50,0,25,25,37.5,25,100,50,75,39.0625,305COR,36.91275,-121.74372,305,Santa Cruz,SMC_out,305SAL129,17663255
305COR2,4/21/15,100,25,50,75,75,62.5,100,75,100,87.5,71.875,305COR2,36.98905,-121.80135,305,Santa Cruz,SMC_out,305COR2xx,17663061
