COMID,D_lat,D_long
17682446,37.05524,-122.0407
8200471,36.646327,-121.701911
17682238,37.17308925,-122.1387429
17682238,37.16252817,-122.1357506
17684382,36.983631,-121.994659
17682308,37.13186821,-122.137017
17682308,37.13827828,-122.1436522
8201913,36.731457,-121.781428
17663449,36.87996,-121.793102
17663449,36.880017,-121.793131
17663007,36.965187,-121.532032
8192531,35.412525,-120.872224
17682168,37.19355,-122.12482
17682168,37.1885,-122.1251
17682168,37.18426,-122.12336
17594801,34.460546,-120.022659
5330517,37.919975,-122.668795
8192557,35.37687,-120.79071
8192629,35.31911,-120.69586
8193611,35.29355,-120.64437
8193611,35.279423,-120.664828
17601679,36.49105,-121.75143
8192585,35.35595,-120.78613
17682682,37.10488,-122.251582
17684138,36.969989,-122.022769
17684138,36.96599,-122.012869
17633096,35.086868,-120.369492
948060268,36.337799,-121.204941
17600447,36.48981,-121.7488
17665645,36.614242,-121.211801
8192637,35.30229,-120.77625
8189139,36.071118,-121.599152
8189139,36.070025,-121.599802
17683354,37.03078557,-121.9479124
17682474,37.044096,-122.072085
8193645,35.256243,-120.887991
17661515,37.02651,-121.77752
17682364,37.106103,-122.10398
17635024,34.906089,-120.301212
17684356,36.99659,-121.95232
17604009,36.876295,-121.745866
948060250,36.990556,-121.531843
948060250,36.976251,-121.512345
17683288,37.0824,-121.85171
17683348,37.03078557,-121.9479124
17609001,34.59799,-120.17485
17682456,37.05993,-122.0583
17682456,37.07455,-122.05548
17682304,37.14168,-122.089885
17682304,37.136642,-122.099318
17682304,37.131474,-122.105138
17604551,36.655867,-121.613387
17604551,36.661323,-121.620294
17682686,37.096403,-122.278073
17663339,36.889936,-121.802431
948060078,36.611357,-121.548743
948060078,36.610899,-121.549434
5330719,37.86702,-122.57942
17661583,37.01576,-121.82046
17661583,37.01638,-121.81686
17663061,36.989116,-121.80259
17663061,36.96796,-121.79865
17663061,36.98921,-121.80252
8202937,36.322943,-121.292774
8202937,36.322838,-121.292921
17661529,37.02576,-121.77505
17620124,34.75586,-120.33453
17683366,37.03356581,-121.9873505
17683366,37.04893477,-121.981232
17661631,37.03149,-121.543384
17682484,37.044096,-122.072085
8205291,36.28074,-121.322687
8205291,36.280751,-121.322759
17600477,36.47437,-121.728416
17665471,36.963509,-121.49189
948060251,36.976251,-121.512345
15022679,38.627977,-121.436322
17596159,34.401286,-119.487235
17604479,36.690348,-121.680545
17683346,37.03961,-121.97659
17682468,37.05086,-122.071022
8188795,36.332598,-121.885252
17682436,37.05648,-122.03256
8200795,36.555911,-121.548995
8200795,36.555831,-121.549094
8201803,36.708102,-121.749641
17600777,36.39113996,-121.5948132
17683342,37.04559047,-121.939403
17683264,37.11889285,-121.9614676
17661461,37.03642,-121.82049
17682192,37.17838,-122.067229
8192913,35.188155,-120.71894
17663341,36.889936,-121.802431
17682694,37.044559,-122.016634
17682694,37.06045,-122.00195
17682694,37.047718,-122.015824
17682694,37.055427,-122.011035
17682694,37.050384,-122.013135
17682694,37.038366,-122.020368
17663151,36.942843,-121.444479
17684084,36.986193,-122.014298
17684084,36.974414,-122.022086
17684084,36.976307,-122.019657
17684084,36.980443,-122.018765
17682316,37.127595,-122.117397
17683326,37.05842073,-121.9808034
17683326,37.07116,-121.97331
17683326,37.06672,-121.97868
17663497,36.889936,-121.802431
17663281,36.899518,-121.59935
17661711,37.00901,-121.79585
17661711,37.01449,-121.79182
17661711,37.01211,-121.79428
17661711,37.00422,-121.79727
17661711,37.02554,-121.7809
17605277,36.860038,-121.740058
8210533,35.89684,-121.08889
17682394,37.10482,-122.02649
17682394,37.08191,-122.05055
17682394,37.09072,-122.043
17682394,37.09996,-122.03529
17682490,37.044096,-122.072085
17600471,36.47437,-121.728416
17663291,36.916561,-121.549843
17682352,37.11312,-122.112523
17682352,37.11017,-122.110708
8192599,35.35315,-120.78875
17683262,37.11889285,-121.9614676
17682322,37.12644,-122.12422
17682322,37.12648,-122.12279
17647963,35.709835,-120.304822
17684386,36.973565,-121.903821
17684386,36.973556,-121.903872
17684386,36.97208702,-121.9054362
17684386,36.97513781,-121.9019953
17684386,36.973565,-121.903821
17682242,37.18426,-122.12336
17682242,37.17723,-122.11934
17682242,37.15971,-122.126694
17682242,37.156336,-122.133776
17682242,37.155064,-122.132496
17682470,37.050235,-122.064898
17682470,37.049569,-122.065417
17663255,36.91274,-121.745128
17661713,37.00774,-121.80932
17682666,37.125807,-122.11897
17692585,37.50289,-121.96122
17624555,34.87262,-120.46691
17682408,37.07385,-122.01718
17600537,36.45863,-121.73224
17600537,36.47109812,-121.7242966
17600537,36.47108,-121.72429
17661427,37.04473,-121.80865
17661557,37.02576,-121.77505
17605349,36.70247,-121.70868
17663037,36.943887,-121.38488
17604339,36.751646,-121.741805
17661393,37.05287,-121.80817
17600667,36.42935,-121.79154
8193601,35.32455,-120.73705
17682488,37.040612,-122.22885
17682488,37.040693,-122.229044
8212843,35.628469,-120.684553
17682348,37.111361,-122.090062
17682266,37.14864176,-122.1572185
8192691,35.29404,-120.75912
17663353,36.8858552,-121.5540752
17661577,37.02955,-121.82024
17661577,37.01638,-121.81686
8200461,36.64891,-121.70724
17600123,36.50711815,-121.8522319
17661597,37.0146,-121.8144
17661597,37.01638,-121.81686
17683352,37.040584,-121.94163
17683352,37.03427565,-121.9438733
17683352,37.04068606,-121.9415034
17600591,36.4465,-121.68221
17683406,37.00549,-121.93781
2805113,37.57549,-122.02021
17604415,36.724751,-121.729614
17684074,36.996117,-122.012009
17683318,37.05537,-121.92271
17683318,37.059516,-121.924228
17682380,37.090126,-122.09383
8193599,35.36155,-120.71859
8193599,35.35376,-120.72185
8193599,35.35924,-120.71899
8192711,35.280539,-120.668079
17599295,36.53884,-121.88034
8203187,36.267825,-121.072731
17637968,34.688126,-119.358857
17648071,35.709835,-120.304822
17682356,37.11252,-122.02039
17682356,37.1189,-122.01944
17665491,36.93923,-121.77055
17662819,36.998104,-121.79914
17682526,37.017874,-122.186955
8193585,35.35511,-120.74512
17604471,36.702608,-121.601965
17682664,37.121927,-122.085516
17682664,37.111361,-122.090062
17601659,36.37195,-121.66317
17684066,36.990995,-122.031426
17684066,36.991137,-122.031681
17684066,36.990952,-122.031393
17684066,36.998863,-122.036492
17682460,37.051276,-122.084864
17682460,37.05777,-122.079341
17600543,36.45812,-121.70735
17682452,37.05261,-122.071937
17682452,37.058068,-122.07581
8192639,35.30229,-120.77625
17682434,37.06056,-122.02953
8201815,36.616943,-121.522908
17682384,37.111361,-122.090062
17682384,37.10753,-122.08628
